task,nu,xi,lambda_K,eta,validation_mse,status
future,1.5,0.5,0.0001,1.5625e-06,0.3006784538067637,ok
volterra,1.5,0.5,0.0001,1.5625e-06,0.0015336259504607922,ok
future,1.5,0.5,0.01,0.00015625,0.3006908904038894,ok
volterra,1.5,0.5,0.01,0.00015625,0.0015336362075692726,ok
future,1.5,0.5,1.0,0.015625,0.30132951882330283,ok
volterra,1.5,0.5,1.0,0.015625,0.001534149521922415,ok
future,1.5,1.0,0.0001,1.5625e-06,0.29286392761951097,ok
volterra,1.5,1.0,0.0001,1.5625e-06,0.0014656949102167865,ok
future,1.5,1.0,0.01,0.00015625,0.2928656003321605,ok
volterra,1.5,1.0,0.01,0.00015625,0.0014662670827650412,ok
future,1.5,1.0,1.0,0.015625,0.29461809604356154,ok
volterra,1.5,1.0,1.0,0.015625,0.0014974619783363076,ok
future,1.5,2.0,0.0001,1.5625e-06,0.3303708285966858,ok
volterra,1.5,2.0,0.0001,1.5625e-06,0.0013337959283746914,ok
future,1.5,2.0,0.01,0.00015625,0.32956705677332754,ok
volterra,1.5,2.0,0.01,0.00015625,0.001333941819279595,ok
future,1.5,2.0,1.0,0.015625,0.3014359184459175,ok
volterra,1.5,2.0,1.0,0.015625,0.0013656127408722182,ok
future,5.0,0.5,0.0001,1.5625e-06,0.30149616043617805,ok
volterra,5.0,0.5,0.0001,1.5625e-06,0.0015350277720173329,ok
future,5.0,0.5,0.01,0.00015625,0.3015011441682559,ok
volterra,5.0,0.5,0.01,0.00015625,0.0015350243334150632,ok
future,5.0,0.5,1.0,0.015625,0.301753122468451,ok
volterra,5.0,0.5,1.0,0.015625,0.0015348516437374252,ok
future,5.0,1.0,0.0001,1.5625e-06,0.2918656036205206,ok
volterra,5.0,1.0,0.0001,1.5625e-06,0.0014836742194561194,ok
future,5.0,1.0,0.01,0.00015625,0.2918847230356522,ok
volterra,5.0,1.0,0.01,0.00015625,0.0014841281101670876,ok
future,5.0,1.0,1.0,0.015625,0.2944320915345013,ok
volterra,5.0,1.0,1.0,0.015625,0.0015081088523423221,ok
future,5.0,2.0,0.0001,1.5625e-06,0.3489572448457813,ok
volterra,5.0,2.0,0.0001,1.5625e-06,0.0013383042118060076,ok
future,5.0,2.0,0.01,0.00015625,0.34764409171399846,ok
volterra,5.0,2.0,0.01,0.00015625,0.0013379777763446268,ok
future,5.0,2.0,1.0,0.015625,0.3058187251840907,ok
volterra,5.0,2.0,1.0,0.015625,0.0013677630102319884,ok
