ablation,dataset,w,d,task,method,method_seed,n_train,n_test,feature_dim,raw_dim,artifact_dir,train_mse,test_mse
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_baseline_n5_R3_k2_lam0p1,0,5000,1000,315,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_baseline_n5_R3_k2_lam0p1/seed=0,8.6391434436078245e-08,0.00011716149698585745
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_baseline_n5_R3_k2_lam0p1_kernel_readout_retune,0,5000,1000,315,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_baseline_n5_R3_k2_lam0p1_kernel_readout_retune/seed=0,4.9233953022672705e-06,0.00012292138655872826
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_no_jl_identity_pad_n5_R3_k2_lam0p1,0,5000,1000,315,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_no_jl_identity_pad_n5_R3_k2_lam0p1/seed=0,1.9425543066436141e-13,0.0029048443131732275
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_no_jl_identity_pad_n5_R3_k2_lam0p1_kernel_readout_retune,0,5000,1000,315,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_no_jl_identity_pad_n5_R3_k2_lam0p1_kernel_readout_retune/seed=0,7.333742322448052e-13,0.0029942573047236159
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n10_R3_k2_lam0p1,0,5000,1000,1305,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n10_R3_k2_lam0p1/seed=0,4.3315112334835239e-07,2.2114150732805071e-05
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n10_R3_k2_lam0p1_kernel_readout_retune,0,5000,1000,1305,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n10_R3_k2_lam0p1_kernel_readout_retune/seed=0,4.331597939001951e-07,2.2114111697213946e-05
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n3_R3_k2_lam0p1,0,5000,1000,108,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n3_R3_k2_lam0p1/seed=0,1.8524189651441613e-06,0.0003338977845295058
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n3_R3_k2_lam0p1_kernel_readout_retune,0,5000,1000,108,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n3_R3_k2_lam0p1_kernel_readout_retune/seed=0,1.2380933527416321e-05,0.00035374880069217118
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n6_R3_k2_lam0p1,0,5000,1000,459,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n6_R3_k2_lam0p1/seed=0,6.3297882610119563e-08,4.1000787327823945e-06
architecture,varma_e2_three__N=6000__w=25__d=3__s=100,25,3,one_step_forecast,quark_reservoir_channel_cupy_direct_arch_sweep_n6_R3_k2_lam0p1_kernel_readout_retune,0,5000,1000,459,75,/home/local/USHERBROOKE/aara2601/projects/quark/storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n6_R3_k2_lam0p1_kernel_readout_retune/seed=0,4.4275142066257157e-09,4.2616452544161592e-06
